"GEOID","SUFFIX","COUNT","TOTAL_ROADS","PCT"
25027,"ST",5428,17167,31.62
26001,"RD",586,1157,50.65
26003,"RD",722,1061,68.05
26005,"ST",1177,3519,33.45
26007,"RD",513,1078,47.59
26009,"RD",625,1967,31.77
26011,"RD",506,968,52.27
26013,"RD",577,893,64.61
26015,"RD",706,2245,31.45
26017,"RD",729,2478,29.42
26019,"RD",559,1405,39.79
26021,"ST",1156,4784,24.16
26023,"RD",556,1622,34.28
26025,"ST",822,2806,29.29
26027,"ST",730,1934,37.75
26029,"RD",688,1824,37.72
26031,"RD",934,2175,42.94
26033,"RD",1295,2306,56.16
26035,"RD",624,1953,31.95
26037,"RD",582,1649,35.29
26039,"RD",653,2124,30.74
26041,"RD",718,1475,48.68
26043,"RD",472,1368,34.5
26045,"DR",567,2363,23.99
26047,"RD",586,1780,32.92
26049,"DR",2316,7993,28.98
26051,"RD",549,1455,37.73
26053,"RD",585,1382,42.33
26055,"DR",776,2794,27.77
26057,"RD",531,1174,45.23
26059,"RD",501,1441,34.77
26061,"RD",854,1976,43.22
26063,"RD",551,1477,37.31
26065,"ST",1051,4423,23.76
26067,"ST",586,1840,31.85
26069,"RD",804,2006,40.08
26071,"RD",567,1163,48.75
26073,"RD",523,1533,34.12
26075,"RD",1101,3801,28.97
26077,"ST",1360,5061,26.87
26079,"RD",384,738,52.03
26081,"DR",680,1961,34.68
26083,"RD",214,407,52.58
26085,"RD",700,2188,31.99
26087,"RD",702,2148,32.68
26089,"RD",638,1714,37.22
26091,"ST",624,2461,25.36
26093,"DR",1764,4887,36.1
26095,"RD",310,526,58.94
26097,"RD",561,1228,45.68
26099,"DR",5336,13377,39.89
26101,"RD",786,1676,46.9
26103,"RD",829,2425,34.19
26105,"RD",744,1485,50.1
26107,"AVE",479,2018,23.74
26109,"RD",472,1190,39.66
26111,"RD",627,2163,28.99
26113,"RD",700,1081,64.75
26115,"DR",765,2941,26.01
26117,"RD",1118,2789,40.09
26119,"RD",567,1355,41.85
26121,"RD",1026,3932,26.09
26123,"ST",817,2680,30.49
26125,"DR",6709,23588,28.44
26127,"RD",666,1802,36.96
26129,"RD",743,1808,41.1
26131,"RD",346,663,52.19
26133,"RD",579,1562,37.07
26135,"RD",544,1185,45.91
26137,"RD",506,1803,28.06
26139,"DR",1541,5236,29.43
26141,"RD",453,1408,32.17
26143,"RD",689,2408,28.61
26145,"ST",1232,3854,31.97
26147,"ST",731,2881,25.37
26149,"RD",672,1953,34.41
26151,"RD",712,1435,49.62
26153,"RD",402,718,55.99
26155,"ST",600,1698,35.34
26157,"RD",765,1544,49.55
26159,"ST",934,2316,40.33
26161,"DR",1748,6893,25.36
26163,"ST",9211,21795,42.26
26165,"RD",862,1710,50.41
27001,"PL",549,2116,25.95
27003,"ST",338,1636,20.66
27005,"RD",562,1874,29.99
27007,"RD",173,338,51.18
27009,"ST",63,257,24.51
27011,"ST",271,618,43.85
27013,"ST",826,2588,31.92
27015,"ST",401,769,52.15
27017,"RD",722,1467,49.22
27019,"DR",399,2537,15.73
27021,"RD",263,926,28.4
27023,"ST",136,301,45.18
